Timestamp_ms,CH1_V,CH2_V,CH3_V,CH4_V
0.0,-0.0003267824649810791,-0.00018045306205749512,5.3048133850097656e-05,0.003315061330795288
1.0,-0.0003230571746826172,-0.00018298625946044922,6.16908073425293e-05,0.003315657377243042
2.0,-0.0003223121166229248,-0.0001882016658782959,5.856156349182129e-05,0.0033013522624969482
3.0,-0.0003229081630706787,-0.00018849968910217285,5.990266799926758e-05,0.0032980740070343018
4.0,-0.00032514333724975586,-0.0001780688762664795,6.243586540222168e-05,0.0032933056354522705
5.0,-0.0003133714199066162,-0.00017851591110229492,6.854534149169922e-05,0.0032918155193328857
6.0,-0.00031620264053344727,-0.00017493963241577148,6.511807441711426e-05,0.0032876431941986084
7.0,-0.0003065168857574463,-0.00017404556274414062,6.198883056640625e-05,0.003275275230407715
8.0,-0.0003018975257873535,-0.00017464160919189453,6.571412086486816e-05,0.003276318311691284
9.0,-0.00030606985092163086,-0.00017315149307250977,7.68899917602539e-05,0.0032585859298706055
10.0,-0.0002950429916381836,-0.000174790620803833,7.733702659606934e-05,0.003261864185333252
11.0,-0.00029534101486206055,-0.0001652538776397705,7.659196853637695e-05,0.0032611191272735596
12.0,-0.00029653310775756836,-0.00016286969184875488,7.092952728271484e-05,0.0032554566860198975
13.0,-0.0002919137477874756,-0.0001570582389831543,7.271766662597656e-05,0.003251880407333374
13.0,-0.0002898275852203369,-0.0001634657382965088,7.063150405883789e-05,0.003243386745452881
14.0,-0.0002790987491607666,-0.00016123056411743164,7.539987564086914e-05,0.0032442808151245117
15.0,-0.00028252601623535156,-0.00016674399375915527,7.092952728271484e-05,0.0032344460487365723
16.0,-0.0002779066562652588,-0.00016421079635620117,7.137656211853027e-05,0.0032220780849456787
17.0,-0.0002753734588623047,-0.00016883015632629395,7.584691047668457e-05,0.0032061338424682617
18.0,-0.00027239322662353516,-0.0001582503318786621,7.18235969543457e-05,0.0032104551792144775
19.0,-0.0002631545066833496,-0.00015974044799804688,7.197260856628418e-05,0.0032138824462890625
20.0,-0.00026404857635498047,-0.00015303492546081543,7.718801498413086e-05,0.003201216459274292
21.0,-0.0002568960189819336,-0.00015422701835632324,8.016824722290039e-05,0.003203153610229492
22.0,-0.0002677738666534424,-0.00016108155250549316,7.718801498413086e-05,0.0031891465187072754
23.0,-0.00026091933250427246,-0.00015348196029663086,7.733702659606934e-05,0.003182739019393921
24.0,-0.00025197863578796387,-0.0001531839370727539,7.733702659606934e-05,0.0031785666942596436
25.0,-0.00025838613510131836,-0.00015616416931152344,8.150935173034668e-05,0.0031769275665283203
26.0,-0.00024706125259399414,-0.00015228986740112305,7.778406143188477e-05,0.0031675398349761963
27.0,-0.00024944543838500977,-0.00015303492546081543,7.584691047668457e-05,0.0031769275665283203
