Timestamp_ms,CH1_V,CH2_V,CH3_V,CH4_V
0.0,2.6673078536987305e-05,-3.293156623840332e-05,0.0003577768802642822,0.007959157228469849
1.0,2.4437904357910156e-05,-3.1888484954833984e-05,0.00036150217056274414,0.00798150897026062
2.0,3.203749656677246e-05,-2.6226043701171875e-05,0.00035956501960754395,0.007994920015335083
2.0,3.7103891372680664e-05,-3.0994415283203125e-05,0.0003504753112792969,0.008013397455215454
3.0,2.9206275939941406e-05,-3.948807716369629e-05,0.0003574788570404053,0.008020550012588501
4.0,3.4421682357788086e-05,-2.86102294921875e-05,0.0003536045551300049,0.008029937744140625
5.0,3.11434268951416e-05,-3.159046173095703e-05,0.0003542006015777588,0.008015334606170654
6.0,3.11434268951416e-05,-4.6193599700927734e-05,0.00035449862480163574,0.008029341697692871
7.0,2.6226043701171875e-05,-3.4868717193603516e-05,0.00035628676414489746,0.008028596639633179
8.0,3.784894943237305e-05,-3.725290298461914e-05,0.00035583972930908203,0.008046329021453857
9.0,3.248453140258789e-05,-3.650784492492676e-05,0.0003610551357269287,0.008035600185394287
10.0,3.337860107421875e-05,-4.038214683532715e-05,0.00036269426345825195,0.008046329021453857
11.0,4.5299530029296875e-05,-2.9206275939941406e-05,0.0003641843795776367,0.008046627044677734
12.0,3.978610038757324e-05,-4.1425228118896484e-05,0.0003656744956970215,0.008059591054916382
13.0,4.246830940246582e-05,-3.591179847717285e-05,0.00037595629692077637,0.008052289485931396
14.0,2.9355287551879883e-05,-5.0514936447143555e-05,0.0003737211227416992,0.008046180009841919
15.0,3.4868717193603516e-05,-4.1872262954711914e-05,0.00038102269172668457,0.008043050765991211
16.0,3.3527612686157227e-05,-5.125999450683594e-05,0.0003866851329803467,0.008051693439483643
17.0,3.889203071594238e-05,-5.3048133850097656e-05,0.0003808736801147461,0.00804513692855835
18.0,3.173947334289551e-05,-4.76837158203125e-05,0.0003883242607116699,0.008056312799453735
19.0,4.112720489501953e-05,-6.034970283508301e-05,0.00038549304008483887,0.008066147565841675
20.0,3.2782554626464844e-05,-5.796551704406738e-05,0.00038802623748779297,0.008057057857513428
20.0,3.6209821701049805e-05,-5.602836608886719e-05,0.00038504600524902344,0.008064210414886475
21.0,4.26173210144043e-05,-5.8263540267944336e-05,0.0003987550735473633,0.00805482268333435
22.0,3.1888484954833984e-05,-6.899237632751465e-05,0.00039651989936828613,0.008057504892349243
23.0,3.6209821701049805e-05,-7.539987564086914e-05,0.00040143728256225586,0.008044391870498657
