Timestamp_ms,CH1_V,CH2_V,CH3_V,CH4_V
0.0,-0.0006151199340820312,-6.780028343200684e-05,8.210539817810059e-05,0.004433244466781616
1.0,-0.000613480806350708,-6.213784217834473e-05,8.940696716308594e-05,0.004437267780303955
2.0,-0.0006105005741119385,-6.42240047454834e-05,8.285045623779297e-05,0.004439800977706909
3.0,-0.0006110966205596924,-7.301568984985352e-05,9.506940841674805e-05,0.004451870918273926
4.0,-0.0006143748760223389,-6.765127182006836e-05,9.357929229736328e-05,0.004446655511856079
5.0,-0.000600963830947876,-7.674098014831543e-05,8.344650268554688e-05,0.004460066556930542
6.0,-0.0006107985973358154,-7.316470146179199e-05,8.404254913330078e-05,0.0044602155685424805
7.0,-0.000591576099395752,-7.525086402893066e-05,8.58306884765625e-05,0.0044661760330200195
8.0,-0.0005897879600524902,-6.943941116333008e-05,8.493661880493164e-05,0.004460811614990234
9.0,-0.000597834587097168,-7.271766662597656e-05,7.82310962677002e-05,0.004480183124542236
10.0,-0.0005993247032165527,-7.644295692443848e-05,7.286667823791504e-05,0.004475712776184082
11.0,-0.0006055831909179688,-8.717179298400879e-05,8.687376976013184e-05,0.004481524229049683
12.0,-0.0005963444709777832,-7.644295692443848e-05,7.852911949157715e-05,0.0044883787631988525
13.0,-0.0005933642387390137,-7.405877113342285e-05,7.763504981994629e-05,0.004497915506362915
14.0,-0.000585019588470459,-7.554888725280762e-05,7.495284080505371e-05,0.004489719867706299
14.0,-0.0005914270877838135,-7.718801498413086e-05,7.838010787963867e-05,0.004496276378631592
15.0,-0.0005899369716644287,-7.18235969543457e-05,9.253621101379395e-05,0.004498809576034546
16.0,-0.0005964934825897217,-8.016824722290039e-05,7.286667823791504e-05,0.00450819730758667
17.0,-0.0005961954593658447,-7.420778274536133e-05,6.988644599914551e-05,0.004511475563049316
18.0,-0.0005894899368286133,-7.033348083496094e-05,7.88271427154541e-05,0.004516243934631348
19.0,-0.0005935132503509521,-7.659196853637695e-05,6.61611557006836e-05,0.004522800445556641
20.0,-0.0005893409252166748,-8.404254913330078e-05,7.405877113342285e-05,0.004540532827377319
21.0,-0.00059470534324646,-8.597970008850098e-05,7.867813110351562e-05,0.0045430660247802734
22.0,-0.000597834587097168,-8.925795555114746e-05,7.197260856628418e-05,0.004551708698272705
23.0,-0.0005953013896942139,-9.581446647644043e-05,7.003545761108398e-05,0.0045455992221832275
24.0,-0.0005927681922912598,-9.73045825958252e-05,7.137656211853027e-05,0.004554688930511475
25.0,-0.0005750358104705811,-9.819865226745605e-05,6.884336471557617e-05,0.004547536373138428
26.0,-0.0005839765071868896,-0.00010341405868530273,7.793307304382324e-05,0.004557818174362183
27.0,-0.0005793571472167969,-0.00011056661605834961,7.838010787963867e-05,0.004551559686660767
28.0,-0.0005884468555450439,-0.00011086463928222656,7.82310962677002e-05,0.00455513596534729
29.0,-0.0005804002285003662,-0.00011101365089416504,8.225440979003906e-05,0.004559457302093506
30.0,-0.0005857646465301514,-0.00011876225471496582,8.240342140197754e-05,0.004567503929138184
31.0,-0.0005772709846496582,-0.00011861324310302734,8.270144462585449e-05,0.0045746564865112305
32.0,-0.0005774199962615967,-0.00011712312698364258,7.838010787963867e-05,0.004585534334182739
32.0,-0.000562816858291626,-0.00012949109077453613,8.299946784973145e-05,0.00459134578704834
33.0,-0.0005678832530975342,-0.00011757016181945801,9.5367431640625e-05,0.004595816135406494
34.0,-0.0005698204040527344,-0.0001226365566253662,8.925795555114746e-05,0.004589706659317017
35.0,-0.0005772709846496582,-0.00011667609214782715,9.194016456604004e-05,0.00458642840385437
36.0,-0.0005635619163513184,-0.00010877847671508789,9.462237358093262e-05,0.0045931339263916016
37.0,-0.000571906566619873,-0.0001245737075805664,9.447336196899414e-05,0.004598498344421387
38.0,-0.0005643069744110107,-0.00012934207916259766,9.179115295410156e-05,0.004607141017913818
39.0,-0.0005671381950378418,-0.0001329183578491211,9.238719940185547e-05,0.004606395959854126
40.0,-0.0005650520324707031,-0.0001259148120880127,9.879469871520996e-05,0.004599839448928833
41.0,-0.0005537271499633789,-0.0001341104507446289,9.34302806854248e-05,0.004616081714630127
42.0,-0.0005540251731872559,-0.0001284480094909668,0.00010222196578979492,0.004605203866958618
43.0,-0.0005483627319335938,-0.00012725591659545898,9.551644325256348e-05,0.004611760377883911
44.0,-0.000552833080291748,-0.00012218952178955078,0.00010028481483459473,0.004614144563674927
45.0,-0.0005485117435455322,-0.0001169741153717041,9.864568710327148e-05,0.00461965799331665
46.0,-0.0005407631397247314,-0.00012412667274475098,0.0001119077205657959,0.004629641771316528
47.0,-0.0005517899990081787,-0.00012859702110290527,0.00010713934898376465,0.004610270261764526
48.0,-0.0005425512790679932,-0.00011965632438659668,0.00011488795280456543,0.00461772084236145
49.0,-0.0005494058132171631,-0.00012218952178955078,0.00012114644050598145,0.004609227180480957
50.0,-0.0005415081977844238,-0.00012680888175964355,0.0001169741153717041,0.004619210958480835
50.0,-0.0005459785461425781,-0.0001296401023864746,0.00010147690773010254,0.004618167877197266
51.0,-0.0005395710468292236,-0.00012919306755065918,0.00011652708053588867,0.0046190619468688965
52.0,-0.0005331635475158691,-0.00014007091522216797,0.00011399388313293457,0.00463142991065979
53.0,-0.0005413591861724854,-0.0001385807991027832,0.0001195073127746582,0.0046287477016448975
54.0,-0.0005364418029785156,-0.00014096498489379883,0.00011160969734191895,0.004623234272003174
55.0,-0.000540614128112793,-0.00013843178749084473,0.00011846423149108887,0.004639327526092529
56.0,-0.0005441904067993164,-0.00013932585716247559,0.00012010335922241211,0.00464215874671936
57.0,-0.0005349516868591309,-0.00014007091522216797,0.0001169741153717041,0.004642605781555176
58.0,-0.0005453824996948242,-0.00013753771781921387,0.0001226365566253662,0.004641413688659668
59.0,-0.0005486607551574707,-0.0001449882984161377,0.00013008713722229004,0.004640072584152222
60.0,-0.0005379319190979004,-0.00014469027519226074,0.0001278519630432129,0.0046381354331970215
61.0,-0.0005379319190979004,-0.00014975666999816895,0.00012189149856567383,0.0046350061893463135
62.0,-0.0005361437797546387,-0.00014856457710266113,0.00011786818504333496,0.004636496305465698
63.0,-0.0005443394184112549,-0.00015527009963989258,0.0001259148120880127,0.0046509504318237305
64.0,-0.0005480647087097168,-0.00016540288925170898,0.0001251697540283203,0.004653036594390869
65.0,-0.0005461275577545166,-0.0001634657382965088,0.000133514404296875,0.004642754793167114
66.0,-0.0005538761615753174,-0.00017210841178894043,0.00013813376426696777,0.004639625549316406
67.0,-0.0005541741847991943,-0.00017344951629638672,0.00013574957847595215,0.00464215874671936
68.0,-0.0005552172660827637,-0.0001677870750427246,0.0001461803913116455,0.004635453224182129
78.0,-0.0005516409873962402,-0.00020459294319152832,0.00019088387489318848,0.004627853631973267
79.0,-0.0005561113357543945,-0.0002072751522064209,0.0001730024814605713,0.004633069038391113
80.0,-0.0005532801151275635,-0.0002072751522064209,0.00018194317817687988,0.004633218050003052
81.0,-0.0005622208118438721,-0.00020548701286315918,0.0001825392246246338,0.004628896713256836
82.0,-0.0005564093589782715,-0.00021889805793762207,0.00018894672393798828,0.00461772084236145
83.0,-0.0005561113357543945,-0.00021502375602722168,0.000206679105758667,0.004622787237167358
84.0,-0.0005546212196350098,-0.0002181529998779297,0.0001990795135498047,0.004613995552062988
84.0,-0.000559687614440918,-0.00021904706954956055,0.0001958012580871582,0.004601329565048218
85.0,-0.000556260347366333,-0.0002123415470123291,0.00020951032638549805,0.004601627588272095
86.0,-0.0005537271499633789,-0.00022709369659423828,0.00021755695343017578,0.004597753286361694
87.0,-0.0005649030208587646,-0.0002250075340270996,0.0002276897430419922,0.004605650901794434
88.0,-0.0005592405796051025,-0.0002263486385345459,0.00022545456886291504,0.00460505485534668
89.0,-0.0005540251731872559,-0.0002263486385345459,0.00023543834686279297,0.004603862762451172
90.0,-0.0005626678466796875,-0.00023111701011657715,0.00023767352104187012,0.004592537879943848
91.0,-0.0005616247653961182,-0.00022873282432556152,0.00023886561393737793,0.004604458808898926
92.0,-0.0005675852298736572,-0.00023767352104187012,0.00024631619453430176,0.0045968592166900635
93.0,-0.0005576014518737793,-0.00022530555725097656,0.0002481043338775635,0.004595667123794556
94.0,-0.0005571544170379639,-0.00023320317268371582,0.00025078654289245605,0.004607886075973511
95.0,-0.0005581974983215332,-0.0002352893352508545,0.00025838613510131836,0.004599839448928833
96.0,-0.0005580484867095947,-0.00024646520614624023,0.00025466084480285645,0.004597455263137817
97.0,-0.0005641579627990723,-0.0002440810203552246,0.00026494264602661133,0.004592686891555786
98.0,-0.0005559623241424561,-0.00024840235710144043,0.00026702880859375,0.004580467939376831
99.0,-0.0005538761615753174,-0.0002498924732208252,0.0002688169479370117,0.004589557647705078
100.0,-0.0005520880222320557,-0.00025704503059387207,0.0002796947956085205,0.0045874714851379395
101.0,-0.0005540251731872559,-0.00025466084480285645,0.0002868473529815674,0.0045837461948394775
102.0,-0.0005532801151275635,-0.00027060508728027344,0.0002822279930114746,0.004585385322570801
102.0,-0.000553131103515625,-0.00025659799575805664,0.0002808868885040283,0.004582107067108154
103.0,-0.0005523860454559326,-0.00027254223823547363,0.000298917293548584,0.004572868347167969
104.0,-0.0005595386028289795,-0.00027433037757873535,0.0003014504909515381,0.0045874714851379395
105.0,-0.0005559623241424561,-0.00028058886528015137,0.0003044307231903076,0.004583299160003662
106.0,-0.0005631148815155029,-0.0002828240394592285,0.00030681490898132324,0.004586577415466309
107.0,-0.0005550682544708252,-0.0002792477607727051,0.00030666589736938477,0.004583299160003662
108.0,-0.0005514919757843018,-0.00027760863304138184,0.00030621886253356934,0.004584789276123047
