Timestamp_ms,CH1_V,CH2_V,CH3_V,CH4_V
0.0,2.4884939193725586e-05,0.0002758204936981201,4.32133674621582e-06,0.005411654710769653
1.0,3.3229589462280273e-05,0.00027239322662353516,9.5367431640625e-06,0.005360990762710571
2.0,4.172325134277344e-05,0.0002434849739074707,1.6987323760986328e-05,0.005342811346054077
3.0,4.3511390686035156e-05,0.00022977590560913086,2.130866050720215e-05,0.005298256874084473
4.0,3.993511199951172e-05,0.00019446015357971191,2.950429916381836e-05,0.005277544260025024
5.0,4.604458808898926e-05,0.00018492341041564941,4.0084123611450195e-05,0.005241483449935913
6.0,5.3048133850097656e-05,0.00016793608665466309,4.4852495193481445e-05,0.0052259862422943115
7.0,5.97536563873291e-05,0.00014036893844604492,5.0961971282958984e-05,0.005219131708145142
8.0,5.498528480529785e-05,0.000130385160446167,4.813075065612793e-05,0.005194246768951416
8.0,7.82310962677002e-05,0.00011369585990905762,5.6624412536621094e-05,0.0051753222942352295
9.0,8.121132850646973e-05,9.253621101379395e-05,5.498528480529785e-05,0.005155056715011597
10.0,0.00010013580322265625,9.47713851928711e-05,6.631016731262207e-05,0.00514104962348938
11.0,9.313225746154785e-05,8.687376976013184e-05,5.453824996948242e-05,0.005104541778564453
12.0,9.909272193908691e-05,7.972121238708496e-05,7.152557373046875e-05,0.005095154047012329
13.0,9.298324584960938e-05,8.672475814819336e-05,6.362795829772949e-05,0.005055516958236694
14.0,8.538365364074707e-05,8.344650268554688e-05,7.674098014831543e-05,0.005047619342803955
15.0,8.597970008850098e-05,7.37607479095459e-05,7.018446922302246e-05,0.005001723766326904
16.0,8.091330528259277e-05,7.361173629760742e-05,8.64267349243164e-05,0.0050005316734313965
17.0,7.361173629760742e-05,8.121132850646973e-05,9.34302806854248e-05,0.004957914352416992
18.0,7.718801498413086e-05,7.838010787963867e-05,0.00010147690773010254,0.004943907260894775
19.0,7.674098014831543e-05,7.867813110351562e-05,0.00010177493095397949,0.004909485578536987
20.0,7.82310962677002e-05,7.256865501403809e-05,0.0001004338264465332,0.004888772964477539
21.0,7.420778274536133e-05,7.495284080505371e-05,0.00010177493095397949,0.004864782094955444
22.0,7.063150405883789e-05,8.746981620788574e-05,0.00010281801223754883,0.004853755235671997
23.0,6.154179573059082e-05,0.00010028481483459473,0.00010505318641662598,0.004836916923522949
24.0,6.318092346191406e-05,0.00010460615158081055,0.00010162591934204102,0.004810839891433716
25.0,5.97536563873291e-05,0.0001309812068939209,0.00010833144187927246,0.004793703556060791
26.0,5.8710575103759766e-05,0.0001455843448638916,0.00010669231414794922,0.004761219024658203
26.0,5.364418029785156e-05,0.00017568469047546387,0.00010326504707336426,0.00474587082862854
27.0,5.1409006118774414e-05,0.00018641352653503418,0.0001125037670135498,0.004716664552688599
28.0,4.5746564865112305e-05,0.0002180039882659912,0.00011220574378967285,0.004709362983703613
29.0,4.082918167114258e-05,0.00023767352104187012,0.00011846423149108887,0.004693865776062012
30.0,4.7087669372558594e-05,0.00026986002922058105,0.00011473894119262695,0.004678219556808472
31.0,3.8743019104003906e-05,0.00028014183044433594,0.00011131167411804199,0.004647672176361084
32.0,4.693865776062012e-05,0.0002904236316680908,0.00010117888450622559,0.0046500563621521
33.0,4.0531158447265625e-05,0.0003166496753692627,0.00010505318641662598,0.004612654447555542
34.0,5.0961971282958984e-05,0.00033289194107055664,9.998679161071777e-05,0.004602968692779541
35.0,4.947185516357422e-05,0.00033929944038391113,7.867813110351562e-05,0.004576146602630615
36.0,4.678964614868164e-05,0.00033333897590637207,8.344650268554688e-05,0.004566311836242676
46.0,-1.728534698486328e-05,0.0003777444362640381,8.866190910339355e-05,0.004486739635467529
47.0,-2.3692846298217773e-05,0.00037550926208496094,6.988644599914551e-05,0.004471689462661743
48.0,-1.952052116394043e-05,0.00036910176277160645,6.943941116333008e-05,0.004470795392990112
49.0,-2.0563602447509766e-05,0.0003650784492492676,6.22868537902832e-05,0.004469156265258789
50.0,-2.2798776626586914e-05,0.0003546476364135742,6.511807441711426e-05,0.004489123821258545
51.0,-2.1755695343017578e-05,0.0003406405448913574,5.751848220825195e-05,0.004464983940124512
52.0,-3.1888484954833984e-05,0.0003205239772796631,5.1856040954589844e-05,0.004475712776184082
